"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid","avatarThumbnail"
"di buat transparan salah, gak di buat transparan lebih salah, mau apa masyarakat ini?","30526","582","2025-12-24T11:04:54.000Z","fhrialfrizzy_","https://www.tiktok.com/@kumparan/video/7587345506364345620","6947886291959890949","7587378781498016530","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/b7ca9869d4d3501549ee83dea6679c2b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b92107e0&x-expires=1766750400&x-signature=xn%2BpaDwooIhiQXHDlAVZp6MXW9M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"siapa dsni yg pilih Prabowo lanjut periode ke duaa.
me🤗🤗🤗","16457","872","2025-12-24T12:24:29.000Z","candrawatilatif","https://www.tiktok.com/@kumparan/video/7587345506364345620","6842017078591308802","7587399277259227911","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/206cec6302201aca22864569326dd468~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a92756c4&x-expires=1766750400&x-signature=S0ar9CDL1GBrp3OnoMqdJSCOomY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Punya presiden segacor ini masih aja banyak yg gak bersyukur, bisanya cmn komen negatif dan menjatuhkan kayak nya bener deh mending ganti rakyat omon2","20661","276","2025-12-24T11:03:59.000Z","pusaann9","https://www.tiktok.com/@kumparan/video/7587345506364345620","7153983262540235803","7587377623371563794","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/f1e0148cad5f6dd3313c59353e869e46~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=dcfbb5e5&x-expires=1766750400&x-signature=E6JhzZj0e%2F1XyTDem6Sa4V8imPM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"di usut salah GK di usut salah,ganti rakyat yg bener ini mah","10372","192","2025-12-24T09:35:53.000Z","phememehandal","https://www.tiktok.com/@kumparan/video/7587345506364345620","7041822420499792923","7587355814270206728","https://p16-common-sign.tiktokcdn-us.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=4ecfa8bf&x-expires=1766750400&x-signature=vPxkONOkZn%2Fo%2FpXZk8Ta1QDHiKE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"cuma Pak Prabowo yg mampu melakukan ini semua dengan cepat tepat sasaran 😁👍","1268","26","2025-12-24T11:52:24.000Z","ria_1892","https://www.tiktok.com/@kumparan/video/7587345506364345620","6602540778865049601","7587391015327253255","https://p19-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/7fb39463e4574fa7524b2c45130e0296~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=da6dc746&x-expires=1766750400&x-signature=%2FAiBaUnBGQTNNyvGJ1tjlAhEysA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"jaman Prabowo yg berani seperti ini. mantap","1245","19","2025-12-24T10:38:32.000Z","rajamurahatk","https://www.tiktok.com/@kumparan/video/7587345506364345620","7192293887452267547","7587371982401684232","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/faff08ac561f518e86029896275aa22b~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9f1a0ac9&x-expires=1766750400&x-signature=o3IXk%2FbwR6ln2EUJpk0ll3UW3Pc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"ganti rakyat aja","523","4","2025-12-24T09:47:30.000Z","cuaaaaji17","https://www.tiktok.com/@kumparan/video/7587345506364345620","6886958416373744646","7587358824895202066","https://p16-common-sign.tiktokcdn-us.com/tos-alisg-avt-0068/18fdc5d6930143d8dcfec6e47f052042~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5e3ba9c1&x-expires=1766750400&x-signature=YoZSmCXDZ1kU7eEqVr5NlcOebKo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"punya presiden sehebat ini, tetep di salahin perkara MBG🤣","319","0","2025-12-24T11:26:35.000Z","cyxra","https://www.tiktok.com/@kumparan/video/7587345506364345620","6616938437532876801","7587384335440364304","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/b4b31f93e79bd57133d30af4d3d722c8~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1d57174e&x-expires=1766750400&x-signature=9LNKpko2pS2IwKDogjrz53ZvKOQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"2026 GANTI RAKYAT PLISSSS. MALAH DONGOSS YANG ADA","2807","22","2025-12-24T11:00:55.000Z","israshaya_","https://www.tiktok.com/@kumparan/video/7587345506364345620","7281625959656358917","7587377736185660181","https://p16-common-sign.tiktokcdn-us.com/tos-maliva-avt-0068/eae4bc92453341c825e64e42401c232f~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=60f53327&x-expires=1766750400&x-signature=6J3Wu219a35TTDu1V6JqOpEBpFw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
"Pantes anginnya kenceng ya Pak… tugasmu berat. Masya Allah","478","8","2025-12-24T10:22:27.000Z","userprik8","https://www.tiktok.com/@kumparan/video/7587345506364345620","6570572611603791874","7587367815026131732","https://p16-common-sign.tiktokcdn-us.com/tos-useast2a-avt-0068-giso/b6f7adfc2a2506f1ef7601bb9d20e423~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5ad77214&x-expires=1766750400&x-signature=zSTVvXnf8ceNFfae9cG1bV2%2FW7s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5"
